
央视频,#genre#
CCTV1,http://dp.sxtv.top:88/2b/cctv.php?id=cctv1
CCTV2,http://dp.sxtv.top:88/2b/cctv.php?id=cctv2
CCTV3,http://dp.sxtv.top:88/2b/cctv.php?id=cctv3
CCTV4,http://dp.sxtv.top:88/2b/cctv.php?id=cctv4
CCTV5,http://dp.sxtv.top:88/2b/cctv.php?id=cctv5
CCTV5+,http://dp.sxtv.top:88/2b/cctv.php?id=cctv5p
CCTV6,http://dp.sxtv.top:88/2b/cctv.php?id=cctv6
CCTV6,http://dp.sxtv.top:88/2b/cctv.php?id=cctv6hd
CCTV7,http://dp.sxtv.top:88/2b/cctv.php?id=cctv7
CCTV8,http://dp.sxtv.top:88/2b/cctv.php?id=cctv8
CCTV9,http://dp.sxtv.top:88/2b/cctv.php?id=cctv9
CCTV10,http://dp.sxtv.top:88/2b/cctv.php?id=cctv10
CCTV11,http://dp.sxtv.top:88/2b/cctv.php?id=cctv11
CCTV12,http://dp.sxtv.top:88/2b/cctv.php?id=cctv12
CCTV13,http://dp.sxtv.top:88/2b/cctv.php?id=cctv13
CCTV14,http://dp.sxtv.top:88/2b/cctv.php?id=cctv14
CCTV15,http://dp.sxtv.top:88/2b/cctv.php?id=cctv15
CCTV16,http://dp.sxtv.top:88/2b/cctv.php?id=cctv16
CCTV17,http://dp.sxtv.top:88/2b/cctv.php?id=cctv17
中国教育1,http://dp.sxtv.top:88/2b/cctv.php?id=cetv1
CCTV兵器科技,http://dp.sxtv.top:88/2b/cctv.php?id=bqkj
CCTV第一剧场,http://dp.sxtv.top:88/2b/cctv.php?id=dyjc
CCTV怀旧剧场,http://dp.sxtv.top:88/2b/cctv.php?id=hjjc
CCTV风云剧场,http://dp.sxtv.top:88/2b/cctv.php?id=fyjc
CCTV风云音乐,http://dp.sxtv.top:88/2b/cctv.php?id=fyyy
CCTV风云足球,http://dp.sxtv.top:88/2b/cctv.php?id=fyzq
CCTV电视指南,http://dp.sxtv.top:88/2b/cctv.php?id=dszn
CCTV女性时尚,http://dp.sxtv.top:88/2b/cctv.php?id=nxss
CCTV央视文化精品,http://dp.sxtv.top:88/2b/cctv.php?id=whjp
CCTV世界地理,http://dp.sxtv.top:88/2b/cctv.php?id=sjdl
CCTV高尔夫网球,http://dp.sxtv.top:88/2b/cctv.php?id=gefwq
CCTV央视台球,http://dp.sxtv.top:88/2b/cctv.php?id=ystq
CCTV卫生健康,http://dp.sxtv.top:88/2b/cctv.php?id=wsjk
CGTN,http://dp.sxtv.top:88/2b/cctv.php?id=cgtn
CGTN纪录,http://dp.sxtv.top:88/2b/cctv.php?id=cgtnjl
CGTN西语,http://dp.sxtv.top:88/2b/cctv.php?id=cgtne
CGTN法语,http://dp.sxtv.top:88/2b/cctv.php?id=cgtnf
CGTN阿语,http://dp.sxtv.top:88/2b/cctv.php?id=cgtna
CGTN俄语,http://dp.sxtv.top:88/2b/cctv.php?id=cgtnr
北京卫视,http://dp.sxtv.top:88/2b/cctv.php?id=bjws
